Date,GIV00907136,GIV00907156,GIV00907176,GIV00907196,GIV00907216,GIV00907236,GIV00907276,GIV00907296,GIV00907316,GIV00907336,GIV00907356,GIV00907376,GIV00907396,GIV00907416,GIV00907436,GIV00907456,GIV00907476,GIV00907496,GIV00907516,GIV00907536,GIV00907556,GIV00907576,GIV00907596
03/08/2017,17.91265201,18.31850271,18.75813636,19.8725193,21.63390709,23.62464135,32.42010422,41.94554714,50.4820031,56.7821828,60.8142892,63.49283584,65.40477274,66.50311805,66.55405897,65.72419169,65.32903189,64.29807907,60.17472633,57.54349884,54.04772551,51.35981957,49.67097517
03/07/2017,17.86868845,18.31850271,18.74411739,19.8614133,21.61153187,23.60279202,32.39340829,41.94554714,50.4820031,56.76921331,60.80568931,63.48707456,65.39120262,66.50311805,66.55405897,65.72523307,65.33015322,64.29807907,60.17472633,57.54954379,54.04846507,51.36030486,49.67084557
03/06/2017,17.85401365,18.31850271,18.73008746,19.85029736,21.58915152,23.58093622,32.3667073,41.86853033,50.4820031,56.76921331,60.79708815,63.48131281,65.38667831,66.49980474,66.55405897,65.7262742,65.33127435,64.29807907,60.17877605,57.55155873,54.04920461,51.36079016,49.67084557
03/03/2017,17.80529844,18.24662999,18.71604659,19.82803567,21.54437547,23.55907398,32.31329018,41.79150243,50.37903374,56.71732082,60.77127714,63.46978786,65.37310256,66.49648759,66.55948196,65.72731509,65.33351601,64.3094159,60.18282526,57.55760342,54.05068369,51.36127544,49.67032718
03/02/2017,17.80529844,18.23222379,18.67385839,19.82803567,21.54437547,23.49344868,32.31329018,41.76582402,50.35843498,56.70434406,60.76267095,63.46978786,65.37310256,66.49538102,66.56056564,65.73043635,65.33351601,64.3116829,60.18417488,57.55760342,54.05068369,51.36273129,49.67019758
03/01/2017,17.80529844,18.23222379,18.65977384,19.7945686,21.47717329,23.47156077,32.23312681,41.76582402,50.33783459,56.69136584,60.7540635,63.45249683,65.37310256,66.49538102,66.56164902,65.73147629,65.336877,64.31394978,60.18417488,57.55760342,54.05290228,51.36321657,49.67006798
28/02/2017,17.66141301,18.17449393,18.61745486,19.74980673,21.40992581,23.44966647,32.20639568,41.68878143,50.33783459,56.67838617,60.74545479,63.44096707,65.35952259,66.49538102,66.56164902,65.73251599,65.33799693,64.31394978,60.18417488,57.56364792,54.05364179,51.36370184,49.66993839
27/02/2017,17.63741849,18.16003527,18.61745486,19.74980673,21.3875,23.42776579,32.17965956,41.66309814,50.33783459,56.67838617,60.73684481,63.43520147,65.35499499,66.49205876,66.56164902,65.73355545,65.33911666,64.3207497,60.18822341,57.56566272,54.05438131,51.36418711,49.66993839
24/02/2017,17.56541228,18.11659667,18.54670615,19.7048859,21.32019286,23.40585876,32.12617239,41.58604097,50.23480827,56.62645293,60.71100731,63.42943539,65.34140937,66.48873267,66.56706134,65.73459467,65.34135551,64.32754852,60.19227143,57.57170697,54.05586032,51.36467237,49.66942
23/02/2017,17.54140279,18.11659667,18.53252395,19.69363086,21.29774729,23.34009961,32.12617239,41.58604097,50.21419814,56.61346599,60.70239228,63.41213426,65.34140937,66.48762311,66.56814288,65.73771091,65.34135551,64.32981455,60.19362065,57.57170697,54.05586032,51.36612815,49.6692904
22/02/2017,17.51738966,18.11659667,18.51833096,19.68236589,21.27529684,23.31816725,32.04590448,41.58604097,50.19358638,56.60047758,60.69377599,63.40636625,65.34140937,66.48762311,66.56922412,65.73874917,65.34471228,64.32981455,60.19362065,57.57170697,54.05807881,51.3666134,49.6691608
21/02/2017,17.4933729,18.07306445,18.51833096,19.671091,21.25284151,23.2962286,32.01913864,41.50897292,50.19358638,56.58748773,60.68515843,63.40059776,65.32781953,66.48762311,66.56922412,65.73978719,65.3458308,64.32981455,60.19362065,57.57775104,54.05881829,51.36709865,49.66903121
20/02/2017,17.46935257,18.05853297,18.51833096,19.671091,21.23038132,23.27428367,31.99236789,41.48328117,50.19358638,56.58748773,60.67653961,63.3948288,65.32328864,66.48429189,66.56922412,65.74082498,65.34694912,64.33661192,60.19766799,57.57976569,54.05955777,51.3675839,49.66903121
17/02/2017,17.39727048,18.02943901,18.44720453,19.62589213,21.1629718,23.25233246,31.93881169,41.40619871,50.09050333,56.53551374,60.65067554,63.38905935,65.30969315,66.48095683,66.57462574,65.74186252,65.34918516,64.34340819,60.20171481,57.58580951,54.06103672,51.36806914,49.66851282
16/02/2017,17.37323621,18.02943901,18.43294704,19.6145676,21.14049237,23.18644134,31.93881169,41.40619871,50.06988187,56.5225166,60.64205165,63.37174811,65.30969315,66.47984428,66.57570514,65.74497372,65.34918516,64.34567337,60.20306363,57.58580951,54.06103672,51.36952485,49.66838322
15/02/2017,17.34919854,18.02943901,18.41867884,19.60323316,21.11800816,23.16446518,31.85844078,41.40619871,50.0492588,56.50951801,60.63342649,63.36597674,65.30969315,66.47984428,66.57678424,65.7460103,65.3525377,64.34567337,60.20306363,57.58580951,54.06325511,51.37001008,49.66825362
14/02/2017,17.32515752,18.02943901,18.41867884,19.59188879,21.09551921,23.14248282,31.83164076,41.32910552,50.0492588,56.49651796,60.62480006,63.36020489,65.29609343,66.47984428,66.57678424,65.74704665,65.35365481,64.34567337,60.20306363,57.59185314,54.06399456,51.3704953,49.66812402
13/02/2017,17.30111318,17.95652395,18.41867884,19.59188879,21.07302553,23.12049426,31.80483589,41.30340541,50.0492588,56.49651796,60.61617236,63.35443255,65.29155925,66.47650408,66.57678424,65.74808275,65.35477171,64.35246817,60.20710977,57.59386764,54.06473401,51.37098053,49.66812402
02/10/2017,17.2289606,17.91265201,18.34717767,19.54641216,21.00551627,23.09849952,31.75121169,41.22629799,49.94611924,56.44450321,60.59028165,63.34865973,65.27795388,66.47316002,66.58217512,65.74911861,65.35700492,64.35926188,60.21115539,57.59991102,54.06621289,51.37146575,49.66760563
02/09/2017,17.20490335,17.91265201,18.3328455,19.53501822,20.98300385,23.03247837,31.75121169,41.22629799,49.9254865,56.43149588,60.58164887,63.3313384,65.27795388,66.47204448,66.58325238,65.75222475,65.35700492,64.3615262,60.21250382,57.59991102,54.06621289,51.37292139,49.66747604
